"gene_id","cluster","in_apcluster","zscore","ap_q"
"AT1G01080","C21",TRUE,TRUE,0
"AT1G01100","C39",TRUE,TRUE,0
"AT1G01170","C23",TRUE,TRUE,0
"AT1G01320","C21",TRUE,TRUE,0
"AT1G01370","C38",TRUE,TRUE,0
"AT1G01430","C36",TRUE,TRUE,0
"AT1G01470","C52",TRUE,TRUE,0
"AT1G01630","C38",TRUE,TRUE,0
"AT1G01720","C13",TRUE,TRUE,0
"AT1G01750","C41",TRUE,TRUE,0
"AT1G01780","C25",TRUE,TRUE,0
"AT1G01910","C05",TRUE,TRUE,0
"AT1G01970","C18",TRUE,TRUE,0
"AT1G02090","C06",TRUE,TRUE,0
"AT1G02150","C38",TRUE,TRUE,0
"AT1G02160","C38",TRUE,TRUE,0
"AT1G02170","C13",TRUE,TRUE,0
"AT1G02220","C17",TRUE,TRUE,0
"AT1G02270","C04",TRUE,TRUE,0
"AT1G02280","C23",TRUE,TRUE,0
"AT1G02450","C52",TRUE,TRUE,0
"AT1G02470","C53",TRUE,TRUE,0
"AT1G02500","C07",TRUE,TRUE,0
"AT1G02750","C13",TRUE,TRUE,0
"AT1G02780","C39",TRUE,TRUE,0
"AT1G02820","C24",TRUE,TRUE,0
"AT1G02840","C40",TRUE,TRUE,0
"AT1G02850","C17",TRUE,TRUE,0
"AT1G02860","C05",TRUE,TRUE,0
"AT1G02870","C43",TRUE,TRUE,0
"AT1G02880","C06",TRUE,TRUE,0
"AT1G02900","C33",TRUE,TRUE,0
"AT1G02920","C46",TRUE,TRUE,0
"AT1G02930","C38",TRUE,TRUE,0
"AT1G03040","C01",TRUE,TRUE,0
"AT1G03080","C02",TRUE,TRUE,0
"AT1G03110","C34",TRUE,TRUE,0
"AT1G03130","C18",TRUE,TRUE,0
"AT1G03210","C52",TRUE,TRUE,0
"AT1G03230","C15",TRUE,TRUE,0
"AT1G03290","C12",TRUE,TRUE,0
"AT1G03310","C25",TRUE,TRUE,0
"AT1G03400","C53",TRUE,TRUE,0
"AT1G03420","C21",TRUE,TRUE,0
"AT1G03600","C20",TRUE,TRUE,0
"AT1G03630","C18",TRUE,TRUE,0
"AT1G03760","C13",TRUE,TRUE,0
"AT1G03770","C12",TRUE,TRUE,0
"AT1G03780","C41",TRUE,TRUE,0
"AT1G03850","C15",TRUE,TRUE,0
"AT1G03870","C18",TRUE,TRUE,0
"AT1G03900","C03",TRUE,TRUE,0
"AT1G04040","C26",TRUE,TRUE,0
"AT1G04070","C42",TRUE,TRUE,0
"AT1G04250","C25",TRUE,TRUE,0
"AT1G04270","C39",TRUE,TRUE,0
"AT1G04300","C16",TRUE,TRUE,0
"AT1G04425","C18",TRUE,TRUE,0
"AT1G04430","C22",TRUE,TRUE,0
"AT1G04480","C39",TRUE,TRUE,0
"AT1G04503","C37",TRUE,TRUE,0
"AT1G04520","C25",TRUE,TRUE,0
"AT1G04630","C37",TRUE,TRUE,0
"AT1G04635","C20",TRUE,TRUE,0
"AT1G04640","C24",TRUE,TRUE,0
"AT1G04680","C24",TRUE,TRUE,0
"AT1G04780","C14",TRUE,TRUE,0
"AT1G04810","C06",TRUE,TRUE,0
"AT1G04820","C34",TRUE,TRUE,0
"AT1G04940","C21",TRUE,TRUE,0
"AT1G04960","C05",TRUE,TRUE,0
"AT1G04980","C15",TRUE,TRUE,0
"AT1G04990","C14",TRUE,TRUE,0
"AT1G05000","C38",TRUE,TRUE,0
"AT1G05010","C49",TRUE,TRUE,0
"AT1G05060","C06",TRUE,TRUE,0
"AT1G05070","C24",TRUE,TRUE,0
"AT1G05100","C13",TRUE,TRUE,0
"AT1G05140","C22",TRUE,TRUE,0
"AT1G05170","C17",TRUE,TRUE,0
"AT1G05205","C37",TRUE,TRUE,0
"AT1G05250","C31",TRUE,TRUE,0
"AT1G05260","C47",TRUE,TRUE,0
"AT1G05320","C39",TRUE,TRUE,0
"AT1G05340","C10",TRUE,TRUE,0
"AT1G05347","C09",TRUE,TRUE,0
"AT1G05380","C45",TRUE,TRUE,0
"AT1G05385","C24",TRUE,TRUE,0
"AT1G05520","C04",TRUE,TRUE,0
"AT1G05560","C01",TRUE,TRUE,0
"AT1G05562","C01",TRUE,TRUE,0
"AT1G05575","C14",TRUE,TRUE,0
"AT1G05620","C47",TRUE,TRUE,0
"AT1G05680","C01",TRUE,TRUE,0
"AT1G05790","C07",TRUE,TRUE,0
"AT1G05835","C21",TRUE,TRUE,0
"AT1G05840","C11",TRUE,TRUE,0
"AT1G05890","C14",TRUE,TRUE,0
"AT1G05960","C12",TRUE,TRUE,0
"AT1G06000","C47",TRUE,TRUE,0
"AT1G06160","C31",TRUE,TRUE,0
"AT1G06190","C35",TRUE,TRUE,0
"AT1G06290","C04",TRUE,TRUE,0
"AT1G06430","C13",TRUE,TRUE,0
"AT1G06460","C20",TRUE,TRUE,0
"AT1G06500","C20",TRUE,TRUE,0
"AT1G06510","C37",TRUE,TRUE,0
"AT1G06550","C38",TRUE,TRUE,0
"AT1G06620","C44",TRUE,TRUE,0
"AT1G06630","C50",TRUE,TRUE,0
"AT1G06640","C48",TRUE,TRUE,0
"AT1G06680","C27",TRUE,TRUE,0
"AT1G06700","C03",TRUE,TRUE,0
"AT1G06830","C26",TRUE,TRUE,0
"AT1G06870","C06",TRUE,TRUE,0
"AT1G06960","C23",TRUE,TRUE,0
"AT1G07000","C52",TRUE,TRUE,0
"AT1G07030","C17",TRUE,TRUE,0
"AT1G07040","C12",TRUE,TRUE,0
"AT1G07070","C39",TRUE,TRUE,0
"AT1G07150","C16",TRUE,TRUE,0
"AT1G07280","C43",TRUE,TRUE,0
"AT1G07320","C19",TRUE,TRUE,0
"AT1G07370","C38",TRUE,TRUE,0
"AT1G07400","C13",TRUE,TRUE,0
"AT1G07440","C22",TRUE,TRUE,0
"AT1G07570","C22",TRUE,TRUE,0
"AT1G07590","C13",TRUE,TRUE,0
"AT1G07620","C12",TRUE,TRUE,0
"AT1G07650","C37",TRUE,TRUE,0
"AT1G07670","C13",TRUE,TRUE,0
"AT1G07700","C17",TRUE,TRUE,0
"AT1G07705","C40",TRUE,TRUE,0
"AT1G07750","C45",TRUE,TRUE,0
"AT1G07790","C34",TRUE,TRUE,0
"AT1G07810","C06",TRUE,TRUE,0
"AT1G07820","C37",TRUE,TRUE,0
"AT1G07890","C31",TRUE,TRUE,0
"AT1G07920","C38",TRUE,TRUE,0
"AT1G07930","C40",TRUE,TRUE,0
"AT1G07940","C32",TRUE,TRUE,0
"AT1G07950","C42",TRUE,TRUE,0
"AT1G07985","C01",TRUE,TRUE,0
"AT1G08043","C38",TRUE,TRUE,0
"AT1G08050","C17",TRUE,TRUE,0
"AT1G08180","C41",TRUE,TRUE,0
"AT1G08200","C02",TRUE,TRUE,0
"AT1G08230","C42",TRUE,TRUE,0
"AT1G08360","C39",TRUE,TRUE,0
"AT1G08380","C27",TRUE,TRUE,0
"AT1G08390","C38",TRUE,TRUE,0
"AT1G08450","C52",TRUE,TRUE,0
"AT1G08470","C42",TRUE,TRUE,0
"AT1G08540","C22",TRUE,TRUE,0
"AT1G08560","C18",TRUE,TRUE,0
"AT1G08580","C40",TRUE,TRUE,0
"AT1G08630","C02",TRUE,TRUE,0
"AT1G08700","C54",TRUE,TRUE,0
"AT1G08727","C14",TRUE,TRUE,0
"AT1G08757","C20",TRUE,TRUE,0
"AT1G08810","C34",TRUE,TRUE,0
"AT1G08830","C46",TRUE,TRUE,0
"AT1G08920","C45",TRUE,TRUE,0
"AT1G08940","C02",TRUE,TRUE,0
"AT1G08980","C21",TRUE,TRUE,0
"AT1G09070","C13",TRUE,TRUE,0
"AT1G09130","C05",TRUE,TRUE,0
"AT1G09140","C04",TRUE,TRUE,0
"AT1G09200","C37",TRUE,TRUE,0
"AT1G09210","C54",TRUE,TRUE,0
"AT1G09240","C31",TRUE,TRUE,0
"AT1G09310","C27",TRUE,TRUE,0
"AT1G09415","C18",TRUE,TRUE,0
"AT1G09420","C09",TRUE,TRUE,0
"AT1G09430","C15",TRUE,TRUE,0
"AT1G09470","C21",TRUE,TRUE,0
"AT1G09500","C01",TRUE,TRUE,0
"AT1G09530","C18",TRUE,TRUE,0
"AT1G09560","C54",TRUE,TRUE,0
"AT1G09590","C39",TRUE,TRUE,0
"AT1G09605","C52",TRUE,TRUE,0
"AT1G09660","C18",TRUE,TRUE,0
"AT1G09690","C39",TRUE,TRUE,0
"AT1G09730","C01",TRUE,TRUE,0
"AT1G09740","C02",TRUE,TRUE,0
"AT1G09750","C39",TRUE,TRUE,0
"AT1G09760","C42",TRUE,TRUE,0
"AT1G09765","C09",TRUE,TRUE,0
"AT1G09770","C02",TRUE,TRUE,0
"AT1G09780","C41",TRUE,TRUE,0
"AT1G09794","C06",TRUE,TRUE,0
"AT1G09810","C36",TRUE,TRUE,0
"AT1G09830","C18",TRUE,TRUE,0
"AT1G09970","C45",TRUE,TRUE,0
"AT1G10070","C49",TRUE,TRUE,0
"AT1G10140","C02",TRUE,TRUE,0
"AT1G10150","C05",TRUE,TRUE,0
"AT1G10170","C11",TRUE,TRUE,0
"AT1G10350","C37",TRUE,TRUE,0
"AT1G10370","C22",TRUE,TRUE,0
"AT1G10390","C47",TRUE,TRUE,0
"AT1G10410","C01",TRUE,TRUE,0
"AT1G10470","C11",TRUE,TRUE,0
"AT1G10500","C01",TRUE,TRUE,0
"AT1G10522","C23",TRUE,TRUE,0
"AT1G10580","C05",TRUE,TRUE,0
"AT1G10585","C02",TRUE,TRUE,0
"AT1G10630","C05",TRUE,TRUE,0
"AT1G10682","C08",TRUE,TRUE,0
"AT1G10760","C26",TRUE,TRUE,0
"AT1G10930","C25",TRUE,TRUE,0
"AT1G10960","C19",TRUE,TRUE,0
"AT1G11060","C30",TRUE,TRUE,0
"AT1G11180","C19",TRUE,TRUE,0
"AT1G11240","C38",TRUE,TRUE,0
"AT1G11310","C15",TRUE,TRUE,0
"AT1G11380","C41",TRUE,TRUE,0
"AT1G11430","C35",TRUE,TRUE,0
"AT1G11440","C46",TRUE,TRUE,0
"AT1G11475","C55",TRUE,TRUE,0
"AT1G11480","C06",TRUE,TRUE,0
"AT1G11530","C21",TRUE,TRUE,0
"AT1G11545","C24",TRUE,TRUE,0
"AT1G11580","C48",TRUE,TRUE,0
"AT1G11700","C41",TRUE,TRUE,0
"AT1G11740","C26",TRUE,TRUE,0
"AT1G11850","C18",TRUE,TRUE,0
"AT1G11910","C06",TRUE,TRUE,0
"AT1G12010","C16",TRUE,TRUE,0
"AT1G12020","C41",TRUE,TRUE,0
"AT1G12090","C35",TRUE,TRUE,0
"AT1G12200","C13",TRUE,TRUE,0
"AT1G12240","C48",TRUE,TRUE,0
"AT1G12310","C42",TRUE,TRUE,0
"AT1G12320","C13",TRUE,TRUE,0
"AT1G12360","C01",TRUE,TRUE,0
"AT1G12640","C11",TRUE,TRUE,0
"AT1G12760","C06",TRUE,TRUE,0
"AT1G12780","C05",TRUE,TRUE,0
"AT1G12805","C32",TRUE,TRUE,0
"AT1G12810","C06",TRUE,TRUE,0
"AT1G12845","C20",TRUE,TRUE,0
"AT1G12900","C27",TRUE,TRUE,0
"AT1G13080","C15",TRUE,TRUE,0
